clip_id,guard_status,stream_a_error,stream_b_error,divergence_score,adaptive_threshold,classification
61,PASS,0.0009342875564470887,0.036090198904275894,0.10733631253242493,0.16687053442001343,HEALTHY
62,PASS,0.0009875512914732099,0.04620498791337013,0.13762740790843964,0.16763874888420105,HEALTHY
63,PASS,0.0008254144340753555,0.027439257130026817,0.0814923569560051,0.16696932911872864,HEALTHY
64,PASS,0.0009069454972632229,0.04663499817252159,0.13899804651737213,0.16777056455612183,HEALTHY
65,PASS,0.0008287167875096202,0.020924977958202362,0.061946216970682144,0.1673090159893036,HEALTHY
66,PASS,0.0009261652012355626,0.04664410650730133,0.13900615274906158,0.16807982325553894,HEALTHY
67,PASS,0.0009266793495044112,0.018502069637179375,0.05457952991127968,0.16777795553207397,HEALTHY
68,PASS,0.0008659289451315999,0.045360684394836426,0.1352161169052124,0.1683463454246521,HEALTHY
69,PASS,0.000866765039972961,0.01881207525730133,0.05556946247816086,0.16802063584327698,HEALTHY
70,PASS,0.0008416676428169012,0.04099099338054657,0.12213131785392761,0.16807536780834198,HEALTHY
71,PASS,0.0008424074621871114,0.017597438767552376,0.05194991081953049,0.16783252358436584,HEALTHY
72,PASS,0.0007836918230168521,0.0411432720720768,0.12264612317085266,0.16791164875030518,HEALTHY
73,PASS,0.0007841860642656684,0.016813676804304123,0.04965684562921524,0.1677190065383911,HEALTHY
74,PASS,0.0008391931769438088,0.04299069568514824,0.1281328946352005,0.16799071431159973,HEALTHY
75,PASS,0.0008397727506235242,0.016815796494483948,0.049607615917921066,0.167791485786438,HEALTHY
76,PASS,0.000825539231300354,0.04267169535160065,0.1271895468235016,0.1680285483598709,HEALTHY
77,PASS,0.0008261975599452853,0.01725153997540474,0.050928421318531036,0.16779381036758423,HEALTHY
78,PASS,0.0009009031346067786,0.045506395399570465,0.13561828434467316,0.16833919286727905,HEALTHY
79,PASS,0.0009017803240567446,0.018957534804940224,0.055970825254917145,0.16800424456596375,HEALTHY
80,PASS,0.0009922689059749246,0.04349885880947113,0.12950430810451508,0.16831165552139282,HEALTHY
81,PASS,0.0009927831124514341,0.019615890458226204,0.05785489082336426,0.16795077919960022,HEALTHY
82,PASS,0.000920810445677489,0.040159326046705246,0.11955717206001282,0.1679346263408661,HEALTHY
83,PASS,0.0009214756428264081,0.018340835347771645,0.05410103127360344,0.167659729719162,HEALTHY
84,PASS,0.0009477864950895309,0.04202604666352272,0.12513035535812378,0.1661972999572754,HEALTHY
85,PASS,0.0009482493624091148,0.0178088191896677,0.052478209137916565,0.16657543182373047,HEALTHY
86,PASS,0.0009136710432358086,0.04053689166903496,0.1206970065832138,0.1637270152568817,HEALTHY
87,PASS,0.0009145810035988688,0.017706437036395073,0.05220472812652588,0.16384264826774597,HEALTHY
88,PASS,0.0009223648812621832,0.037877365946769714,0.11270973086357117,0.1605754941701889,HEALTHY
89,PASS,0.0009233023738488555,0.016738690435886383,0.04929276928305626,0.1608891636133194,HEALTHY
90,PASS,0.0008718769531697035,0.04013551026582718,0.11953465640544891,0.16052600741386414,HEALTHY
91,PASS,0.0008727011736482382,0.017879001796245575,0.05276430398225784,0.16048577427864075,HEALTHY
92,PASS,0.0008383377571590245,0.03899776190519333,0.11615494638681412,0.1595965474843979,HEALTHY
93,PASS,0.0008396238554269075,0.01877971738576889,0.05549952760338783,0.15930691361427307,HEALTHY
94,PASS,0.0007346879574470222,0.03523853048682213,0.10498090088367462,0.15624123811721802,HEALTHY
95,PASS,0.0007365887286141515,0.01896214298903942,0.056149840354919434,0.15591487288475037,HEALTHY
96,PASS,0.000612713280133903,0.03810987249016762,0.11371690034866333,0.15391559898853302,HEALTHY
97,PASS,0.0006133883725851774,0.01936877891421318,0.057492949068546295,0.15360170602798462,HEALTHY
98,PASS,0.0006744030979461968,0.03914652764797211,0.11676517874002457,0.15037599205970764,HEALTHY
99,PASS,0.0006754311616532505,0.018753211945295334,0.05558420717716217,0.15039315819740295,HEALTHY
100,PASS,0.0006565226940438151,0.03696843981742859,0.11024879664182663,0.14734478294849396,HEALTHY
101,PASS,0.0006574683939106762,0.01863613724708557,0.05525094270706177,0.14745298027992249,HEALTHY
102,PASS,0.0006557262968271971,0.039811573922634125,0.11877899616956711,0.14732885360717773,HEALTHY
103,PASS,0.0006568877724930644,0.020411213859915733,0.060576751828193665,0.14707249402999878,HEALTHY
104,PASS,0.0006203229422681034,0.03948981314897537,0.11784911155700684,0.145844966173172,HEALTHY
105,PASS,0.0006212954176589847,0.02259950153529644,0.06717720627784729,0.14533761143684387,HEALTHY
106,PASS,0.0006096983561292291,0.03467676788568497,0.10342060029506683,0.14289991557598114,HEALTHY
107,PASS,0.0006104480125941336,0.019939158111810684,0.05920702591538429,0.14253990352153778,HEALTHY
108,PASS,0.0006608400144614279,0.04169060289859772,0.1244109719991684,0.1444597840309143,HEALTHY
109,PASS,0.0006618283805437386,0.022444164380431175,0.06667066365480423,0.1436353176832199,HEALTHY
110,PASS,0.0006660452345386147,0.041584547609090805,0.12408760190010071,0.14442048966884613,HEALTHY
111,PASS,0.0006672879680991173,0.02137819305062294,0.06346729397773743,0.1438676118850708,HEALTHY
112,PASS,0.000666008039843291,0.037038467824459076,0.1104493960738182,0.14305326342582703,HEALTHY
113,PASS,0.0006674014148302376,0.02047712914645672,0.06076398491859436,0.14276650547981262,HEALTHY
114,PASS,0.0006148613756522536,0.035461489111185074,0.10576960444450378,0.142857164144516,HEALTHY
115,PASS,0.0006156151066534221,0.020813988521695137,0.061826348304748535,0.14255359768867493,HEALTHY
116,PASS,0.0005928690079599619,0.03508814051747322,0.10467155277729034,0.14137975871562958,HEALTHY
117,PASS,0.0005940488772466779,0.021049346774816513,0.06255398690700531,0.14111962914466858,HEALTHY
118,PASS,0.0005834741750732064,0.03223169595003128,0.09611161053180695,0.13856548070907593,HEALTHY
119,PASS,0.0005842190585099161,0.019648052752017975,0.058359939604997635,0.13838867843151093,HEALTHY
120,PASS,0.0006091116229072213,0.03246435895562172,0.09678396582603455,0.13680976629257202,HEALTHY
121,PASS,0.0006101237377151847,0.01884496957063675,0.055924784392118454,0.1367630809545517,HEALTHY
122,PASS,0.0006503836484625936,0.0350785069167614,0.10458514094352722,0.1345742791891098,HEALTHY
123,PASS,0.0006513739353977144,0.02019486576318741,0.05993322283029556,0.13460716605186462,HEALTHY
124,PASS,0.0006517173605971038,0.032428041100502014,0.09663240611553192,0.13156825304031372,HEALTHY
125,PASS,0.0006524815107695758,0.01701277308166027,0.050385840237140656,0.13246285915374756,HEALTHY
126,PASS,0.0007083757082000375,0.03251798078417778,0.09684556722640991,0.13167735934257507,HEALTHY
127,PASS,0.000709288811776787,0.016712870448827744,0.04942931979894638,0.13231606781482697,HEALTHY
128,PASS,0.0006918698782101274,0.03210524842143059,0.09562388062477112,0.1274978667497635,HEALTHY
129,PASS,0.0006925786146894097,0.01607835665345192,0.04754249006509781,0.12843479216098785,HEALTHY
130,PASS,0.0006544678471982479,0.031306732445955276,0.09326572716236115,0.12299291789531708,HEALTHY
131,PASS,0.0007756496197544038,0.025803949683904648,0.07663619518280029,0.12312538176774979,HEALTHY
132,PASS,0.0007424995419569314,0.03392057865858078,0.1010192334651947,0.12148907780647278,HEALTHY
133,PASS,0.0007979366928339005,0.03531358763575554,0.10514282435178757,0.1243489682674408,HEALTHY
134,PASS,0.000760561553761363,0.036114051938056946,0.10758159309625626,0.12465347349643707,HEALTHY
135,PASS,0.0008020814275369048,0.04035589098930359,0.12026558816432953,0.12980765104293823,HEALTHY
136,PASS,0.0007149316952563822,0.03746526688337326,0.11168086528778076,0.13088734447956085,HEALTHY
137,PASS,0.0007543070241808891,0.03820580244064331,0.11386309564113617,0.134024515748024,HEALTHY
138,PASS,0.0006630650022998452,0.03389681875705719,0.10102739185094833,0.13451088964939117,HEALTHY
139,PASS,0.0007706544129177928,0.03611168637871742,0.10756440460681915,0.13583722710609436,HEALTHY
140,PASS,0.0006796617526561022,0.026422962546348572,0.07858922332525253,0.13504105806350708,HEALTHY
141,PASS,0.0008153686067089438,0.03426474705338478,0.10197886824607849,0.13513018190860748,HEALTHY
142,PASS,0.0007272015209309757,0.02245277538895607,0.06663112342357635,0.13398641347885132,HEALTHY
143,PASS,0.0008731130510568619,0.03417647257447243,0.10165630280971527,0.13430389761924744,HEALTHY
144,PASS,0.0008376198820769787,0.018518313765525818,0.05471732094883919,0.1349295973777771,HEALTHY
145,PASS,0.0009699222282506526,0.03418043255805969,0.10157137364149094,0.13415931165218353,HEALTHY
146,PASS,0.0009705960983410478,0.016964521259069443,0.049922965466976166,0.13542737066745758,HEALTHY
147,PASS,0.0009229257702827454,0.0328187569975853,0.09753334522247314,0.13413873314857483,HEALTHY
148,PASS,0.0009235083125531673,0.016905920580029488,0.04979425296187401,0.13553813099861145,HEALTHY
149,PASS,0.0009184087393805385,0.03325160592794418,0.09883640706539154,0.1340341418981552,HEALTHY
150,PASS,0.0009191145654767752,0.01811661198735237,0.053430721163749695,0.1352563500404358,HEALTHY
151,PASS,0.0009574741125106812,0.0319947674870491,0.09502682834863663,0.13580065965652466,HEALTHY
152,PASS,0.0009580516489222646,0.018680062144994736,0.055082134902477264,0.13583534955978394,HEALTHY
153,PASS,0.0010139429941773415,0.030713610351085663,0.09112688899040222,0.1345439851284027,HEALTHY
154,PASS,0.0010149755980819464,0.01855008490383625,0.05463527888059616,0.13312044739723206,HEALTHY
